split,loss,runtime_seconds,samples_per_second,wall_time_seconds,accuracy,precision,recall,f1,num_samples,inference_time_seconds,average_inference_time_ms_per_sample,fps,model_parameter_count,input_token_count,generated_token_count,processed_token_count,estimated_flops,estimated_tflops,estimated_flops_per_second,estimated_tflops_per_second
train,0.10665095379480143,6785.7886,5.306,6786.842198099941,,,,,,,,,,,,,,,,
validation,,129.47969191893935,7.730942089564711,,0.9100899100899101,0.9118824154349774,0.9100899100899101,0.908979674239757,1001.0,129.47969191893935,129.350341577362,7.730942089564711,5063120384.0,413735.0,6892.0,420627.0,4259370275521536.0,4259.370275521536,32896048889181.1,32.8960488891811
test,,312.24023950845003,9.864199453756335,,0.9165584415584416,0.92061253493997,0.9165584415584416,0.917179115179509,3080.0,312.24023950845003,101.37670113910715,9.864199453756335,5063120384.0,1271098.0,15640.0,1286738.0,1.3029818793334784e+16,13029.818793334784,41730107605115.914,41.73010760511591
